id,id_old,x_geo [pixels],y_geo [pixels],z_geo [pixels],x [pixels],y [pixels],z [pixels],x_min [pixels],x_max [pixels],y_min [pixels],y_max [pixels],z_min [pixels],z_max [pixels],n_pix,n_chan [channels],n_los [pixels],ell3s_maj [pixels],ell3s_min [pixels],ell3s_pa [deg],ell_maj [pixels],ell_min [pixels],ell_pa [deg],f_int [K],f_peak [K],f_wm50 [K],kin_pa [deg],rms [K],snr_int,w20 [channels],w50 [channels],wm50 [channels],ra [deg],dec [deg],vopt [m/s]
841835.01,21.0,495.142,469.453,889.297,495.177,469.566,889.293,489.0,501.0,464.0,476.0,868.0,911.0,2831.0,43.0,110.0,6.0887,5.812,78.4791,5.7935,5.329,37.3495,710.4708,1.2034,22.117,239.6428,0.2248,59.4029,35.1297,23.8919,27.4363,79.703368,21.870637,-98793.085
841835.023,36.0,70.671,506.696,891.864,70.3,507.142,891.522,64.0,78.0,501.0,512.0,860.0,923.0,5157.0,63.0,129.0,7.3109,5.694,-74.5666,6.1981,5.1034,-57.0586,2234.3201,1.636,0.0,316.7873,0.1984,156.8044,49.4506,28.8339,0.0,87.332685,22.515792,-97152.168
841835.028,41.0,77.368,157.078,789.227,77.22,157.169,789.73,74.0,82.0,153.0,162.0,766.0,813.0,1514.0,47.0,52.0,4.5587,3.6275,24.4666,3.8256,3.0743,29.6902,453.0084,0.971,0.0,53.7308,0.1354,86.001,35.1376,22.7012,0.0,87.100802,16.685847,-172083.24
841835.029,43.0,257.026,476.63,941.121,257.287,476.671,944.503,253.0,264.0,474.0,481.0,873.0,965.0,1202.0,92.0,52.0,6.1272,2.9849,-86.0737,5.4082,2.6593,-83.651,432.3723,1.1652,38.795,nan,0.38,33.1972,30.1707,22.1094,13.0105,83.967927,22.036183,-58151.741
841835.064,100.0,212.555,73.028,958.504,212.812,73.203,961.289,208.0,218.0,69.0,78.0,938.0,980.0,2248.0,42.0,78.0,5.5391,4.488,-57.3259,4.9663,3.8456,-61.4587,1125.8978,1.4533,0.0,111.6685,0.2198,108.0614,31.4041,19.6624,0.0,84.736608,15.310265,-45794.824
841835.07,112.0,38.265,111.34,962.428,38.487,111.384,965.22,32.0,43.0,106.0,117.0,945.0,982.0,1752.0,37.0,75.0,6.2157,3.8357,-38.6858,5.47,3.2347,-30.2495,1049.6557,1.643,0.0,335.8601,0.2832,88.5515,30.1208,18.0118,0.0,87.757868,15.910729,-42901.294
841835.247,437.0,143.317,47.744,1072.444,143.266,47.717,1071.647,139.0,149.0,43.0,54.0,1054.0,1091.0,2082.0,37.0,89.0,6.1647,4.5593,32.0299,5.2193,3.8473,23.7791,927.7533,1.418,19.625,194.1188,0.2401,84.6925,27.1232,17.2656,27.6225,85.931931,14.877008,35442.378
841835.338,587.0,114.027,33.146,1086.801,113.854,33.258,1083.981,106.0,122.0,28.0,39.0,1065.0,1107.0,2500.0,42.0,101.0,7.6974,4.186,66.2543,6.9328,3.5804,67.4742,1189.5932,1.6188,27.0632,243.4135,0.2326,102.2739,29.6259,19.3823,29.3735,86.434822,14.630164,44521.257
841835.34,589.0,297.813,470.477,1194.406,298.049,470.705,1193.312,293.0,302.0,467.0,474.0,1132.0,1244.0,2158.0,112.0,42.0,5.4425,2.5654,-62.2213,4.244,2.1794,-59.9336,780.0083,1.1039,4.4902,120.8555,0.2775,60.5088,79.192,42.6264,96.7234,83.236997,21.935275,125002.24
842635.003,4.0,250.516,8.622,839.338,250.531,8.624,842.556,246.0,255.0,5.0,13.0,680.0,947.0,3818.0,267.0,45.0,4.3967,3.095,83.9641,3.6016,2.3006,-89.471,1010.0711,1.2733,0.0,264.1254,0.2391,68.3804,239.7072,23.7075,0.0,84.082822,22.235395,-133196.82
