id,id_old,x_geo [pixels],y_geo [pixels],z_geo [pixels],x [pixels],y [pixels],z [pixels],x_min [pixels],x_max [pixels],y_min [pixels],y_max [pixels],z_min [pixels],z_max [pixels],n_pix,n_chan [channels],n_los [pixels],ell3s_maj [pixels],ell3s_min [pixels],ell3s_pa [deg],ell_maj [pixels],ell_min [pixels],ell_pa [deg],f_int [K],f_peak [K],f_wm50 [K],kin_pa [deg],rms [K],snr_int,w20 [channels],w50 [channels],wm50 [channels],ra [deg],dec [deg],vopt [m/s],y/n/m,notes,"AGCnr, Name",ALFALFA notes,cube notes
760235.293,476,485.725,129.485,1870.082,485.688,129.386,1869.781,482,490,126,134,1833,1907,2628,74,52,4.2558,3.8782,-27.0521,3.206,2.8871,-30.587,1338.2321,1.7024,8.5008,250.1549,0.1894,137.8312,66.1174,51.2745,69.2405,72.163316,0.2480939,622966.78,n,same as 680235.276,,,
760235.294,477,24.318,178.39,1357.129,23.984,178.16,1355.528,22,28,176,183,1329,1379,735,50,28,4.3065,1.9954,-38.2,3.43,1.7112,-40.2621,377.3686,1.4963,11.7053,326.1401,0.2097,66.3819,42.7878,34.6987,36.9795,79.858407,1.0610067,244413.56,n,,,,
760235.3,483,79.725,373.232,1383.735,80.486,373.351,1383.137,75,86,370,377,1361,1407,1769,46,61,6.5235,3.3898,-84.8662,6.2529,2.8805,-84.1612,703.4705,1.7509,14.7283,88.7891,0.2178,76.7837,38.5318,28.8658,35.956,78.916695,4.3141975,264736.81,n,260 km/s cluster,,,
760235.301,484,152.57,175.734,1380.433,152.56,175.739,1380.084,149,157,173,180,1360,1402,1006,42,37,4.6282,2.3873,47.6178,4.4685,2.0801,49.3443,366.3635,0.9813,0,230.2814,0.2208,52.3138,34.2683,24.523,0,77.715459,1.0206479,262489.67,n,260 km/s cluster,,,
760235.302,485,5.907,374.674,1378.398,6.043,374.429,1377.276,4,9,368,379,1353,1400,906,47,36,6.4255,2.0126,-13.6761,4.6468,1.8842,-11.8702,406.8497,1.4678,28.4096,163.2267,0.1983,68.1782,38.3388,23.0753,13.2349,80.157415,4.3321549,260422.51,n,260 km/s cluster,,,
760235.306,489,262.16,370.967,1381.85,262.194,371.021,1381.462,257,267,366,380,1361,1404,1929,43,74,7.1411,3.6895,-7.6308,6.3288,3.2266,-13.15,581.0462,1.2344,8.5891,173.0753,0.2,66.1383,31.1803,23.726,36.1677,75.888229,4.2753539,263504.12,n,260 km/s cluster,,,
761035.004,4,130.876,339.862,513.125,130.727,339.679,513.025,128,135,336,344,493,536,957,43,40,4.0381,2.891,37.4081,3.366,2.3192,27.9165,355.2095,1.1392,16.041,211.6647,0.1953,58.7907,35.3697,27.2228,27.597,78.079562,11.752987,-375772.14,n,,,,
761035.005,5,131.004,392.565,513.421,131.03,392.365,512.063,128,135,389,397,492,535,1279,43,44,4.3003,3.2107,-27.8752,4.1436,2.6774,-31.6086,370.7308,0.9626,14.8028,332.8794,0.1887,54.9375,36.7345,27.2063,30.5262,78.074501,12.631088,-376480.3,n,,,,
761035.006,6,318.251,353.369,763.549,318.284,353.323,763.939,314,323,349,358,746,782,1374,36,63,5.0684,3.8226,43.0992,4.7523,3.4308,39.8411,309.2932,0.9099,15.3385,26.8181,0.1746,47.776,31.1741,17.0342,20.2192,74.953593,11.980391,-191069.09,n,,,,
761035.007,7,468.977,463.717,770.209,468.869,463.699,770.096,465,475,459,469,751,790,1790,39,75,5.0681,4.5078,-54.8169,4.6671,4.0695,-47.6138,397.0301,0.8511,7.5918,124.9828,0.1713,54.7881,30.8276,20.0837,31.1626,72.443846,13.819996,-186536.5,n,,,,
761035.008,8,503.286,342.94,507.63,503.163,342.857,507.678,501,509,341,346,493,522,430,29,25,4.2335,2.1444,-74.7912,3.8644,1.8846,-72.8717,113.0711,0.7803,4.5616,105.4608,0.1858,29.3416,24.1553,17.4551,23.3605,71.872273,11.805956,-379708.17,n,,,,
