# id,id_old,x_geo [pixels],y_geo [pixels],z_geo [pixels],x [pixels],y [pixels],z [pixels],x_min [pixels],x_max [pixels],y_min [pixels],y_max [pixels],z_min [pixels],z_max [pixels],n_pix,n_chan [channels],n_los [pixels],ell3s_maj [pixels],ell3s_min [pixels],ell3s_pa [deg],ell_maj [pixels],ell_min [pixels],ell_pa [deg],f_int [K],f_peak [K],f_wm50 [K],kin_pa [deg],rms [K],snr_int,w20 [channels],w50 [channels],wm50 [channels],ra [deg],dec [deg],vopt [m/s],y/n/m
2361835.204,353,106.89,35.955,1246.511,106.875,35.933,1246.241,102,112,34,40,1228,1267,921,39,42,4.9121,2.4705,76.2048,4.9086,2.2967,78.11,150.273,0.7818,4.707,254.3718,0.1818,27.2416,30.1775,18.5055,30.2219,238.4772,14.690585,163964.59,n
2362635.003,3,89.46,508.263,881.071,89.413,508.289,880.422,86,95,506,511,866,898,737,32,37,4.7424,2.3368,80.7632,4.4338,2.1985,75.7692,125.6303,0.8265,0,262.2372,0.1614,28.6664,26.6477,24.1351,0,238.76824,30.563212,-105322.68,n
2362635.010,11,59.773,323.27,922.828,59.789,323.328,923.078,56,64,319,329,902,945,1253,43,53,5.1754,2.7437,-31.4032,4.7641,2.5492,-31.7207,203.0419,0.5908,12.5908,132.4336,0.1587,36.1407,33.6426,20.3528,20.2674,239.26197,27.480513,-73922.697,n
2362635.035,42,486.24,319.244,946.481,486.325,319.429,946.083,481,494,314,325,928,969,2370,41,104,7.2262,4.231,-54.8301,6.699,3.8652,-55.1466,433.8336,0.8462,12.3344,119.0238,0.1584,56.2483,27.6161,19.3599,27.4733,232.15303,27.415534,-56988.566,n
2362635.056,77,98.599,183.722,940.45,98.515,183.391,941.243,97,102,179,188,930,952,302,22,31,4.8049,1.8907,-9.0965,4.5335,1.8177,-12.049,65.5518,0.7298,2.9698,161.9516,0.1737,21.7103,20.4782,15.9787,20.2435,238.61654,25.14824,-60551.127,n
2362635.058,80,369.102,450.567,955.732,369.158,450.552,956.274,364,376,448,454,930,979,910,49,42,6.5448,2.2771,-74.6797,6.0306,2.1019,-73.1901,156.2857,0.6312,4.3531,108.1545,0.16,32.3703,42.5421,31.6597,42.1807,234.10581,29.600919,-49486.778,n
2362635.062,88,204.782,170.586,950.131,204.869,170.603,949.749,197,210,167,176,934,969,1871,35,80,6.3074,4.0535,-78.4981,5.5217,3.7757,-79.7664,327.4613,0.7862,11.3046,113.0556,0.1565,48.3812,26.0276,18.5829,25.4318,236.84396,24.935093,-54289.998,n
2363435.025,34,453.042,270.997,932.532,453.048,271.003,932.567,446,461,267,277,905,966,3277,61,107,7.0427,4.7661,89.8171,6.2551,3.9701,86.1929,531.1009,0.6822,10.3179,49.9614,0.1585,58.5367,45.5819,20.2095,46.1336,232.70764,34.608457,-66937.54,n
2363435.034,51,467.173,161.353,929.022,467.019,161.28,929.14,461,476,155,168,909,951,3703,42,140,7.279,5.7473,-88.6007,6.4591,5.1879,89.9308,684.7029,0.724,13.4988,89.833,0.1502,74.8968,29.9167,19.6785,30.2012,232.47478,32.779735,-69460.689,n
2363435.044,66,47.703,399.462,928.289,47.686,399.42,928.454,43,55,396,404,910,953,1856,43,73,6.0544,3.7058,62.1105,6.1325,3.3268,64.2511,316.6644,0.7179,14.7272,56.9714,0.1778,41.3314,27.2926,20.2036,24.4286,239.46368,36.748734,-69965.59,n
2363435.045,67,496.016,408.342,943.184,495.931,408.441,943.39,489,506,403,417,910,965,4278,55,170,7.442,7.1478,-23.6882,7.0467,6.2585,-43.4114,796.2899,0.8478,39.0986,306.9793,0.1789,68.056,42.6873,22.409,22.4748,231.99292,36.899084,-58971.061,n
